WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Auckland,ASB Classic,31/12/2018,International,Outdoor,Hard,1st Round,3,Puig M.,Mattek-Sands B.,53,350,1010,109,6,3,6,2,,,2,0,Completed,1.36,3,1.38,3.29,1.43,3.29,1.37,3.09
1,Auckland,ASB Classic,31/12/2018,International,Outdoor,Hard,1st Round,3,Davis L.,Arruabarrena L.,173,82,340,731,6,2,6,2,,,2,0,Completed,1.44,2.62,1.55,2.6,1.57,2.88,1.5,2.59
1,Auckland,ASB Classic,31/12/2018,International,Outdoor,Hard,1st Round,3,Kuzmova V.,Zidansek T.,50,79,1052,752,6,2,7,6,,,2,0,Completed,1.61,2.2,1.65,2.36,1.68,2.5,1.62,2.28
1,Auckland,ASB Classic,31/12/2018,International,Outdoor,Hard,1st Round,3,Bouchard E.,Brengle M.,87,88,692,676,6,3,6,3,,,2,0,Completed,1.5,2.5,1.55,2.62,1.66,2.75,1.53,2.51
1,Auckland,ASB Classic,31/12/2018,International,Outdoor,Hard,1st Round,3,Sorribes Tormo S.,Voegele S.,86,83,700,727,7,5,6,3,,,2,0,Completed,2.25,1.57,2.4,1.63,3.27,1.65,2.35,1.59
1,Auckland,ASB Classic,01/01/2019,International,Outdoor,Hard,1st Round,3,Kenin S.,Martic P.,52,32,1024,1465,7,5,2,6,6,2,2,1,Completed,2,1.72,2.13,1.79,2.15,1.83,2.03,1.78
1,Auckland,ASB Classic,01/01/2019,International,Outdoor,Hard,1st Round,3,Flipkens K.,Vickery S.,47,101,1058,610,6,2,6,2,,,2,0,Completed,,,1.87,2.03,1.91,2.13,1.83,1.98
1,Auckland,ASB Classic,01/01/2019,International,Outdoor,Hard,1st Round,3,Strycova B.,Townsend T.,33,90,1460,673,6,2,6,7,6,3,2,1,Completed,1.3,3.4,1.3,3.82,1.33,3.82,1.31,3.5
1,Auckland,ASB Classic,01/01/2019,International,Outdoor,Hard,1st Round,3,Schoofs B.,Van Uytvanck A.,174,49,329,1055,3,4,,,,,0,0,Retired,2.62,1.44,2.85,1.47,2.85,1.52,2.68,1.47
1,Auckland,ASB Classic,01/01/2019,International,Outdoor,Hard,1st Round,3,Hsieh S.W.,Hercog P.,28,85,1640,715,6,2,6,3,,,2,0,Completed,1.5,2.5,1.61,2.45,1.63,2.63,1.55,2.46
1,Auckland,ASB Classic,01/01/2019,International,Outdoor,Hard,1st Round,3,Barthel M.,Soler-Espinosa S.,77,190,764,308,6,2,7,6,,,2,0,Completed,1.44,2.62,1.48,2.84,1.5,3.06,1.45,2.74
1,Auckland,ASB Classic,01/01/2019,International,Outdoor,Hard,1st Round,3,Goerges J.,Larsson J.,14,75,3055,778,6,0,6,4,,,2,0,Completed,1.2,4.33,1.19,5.29,1.22,5.45,1.18,4.89
1,Auckland,ASB Classic,01/01/2019,International,Outdoor,Hard,1st Round,3,Anisimova A.,Cepelova J.,96,188,635,310,6,2,3,0,,,1,0,Retired,1.44,2.62,1.6,2.48,1.61,5.27,1.52,2.58
1,Auckland,ASB Classic,01/01/2019,International,Outdoor,Hard,1st Round,3,Williams V.,Azarenka V.,39,51,1206,1051,6,3,1,6,6,3,2,1,Completed,2.25,1.57,2.36,1.65,2.54,1.69,2.28,1.63
1,Auckland,ASB Classic,01/01/2019,International,Outdoor,Hard,1st Round,3,Andreescu B.,Babos T.,152,59,382,945,6,4,7,6,,,2,0,Completed,1.72,2,1.68,2.29,1.78,2.3,1.69,2.17
1,Auckland,ASB Classic,02/01/2019,International,Outdoor,Hard,1st Round,3,Wozniacki C.,Siegemund L.,3,113,5586,517,6,3,6,2,,,2,0,Completed,1.28,3.5,1.34,3.53,1.45,3.55,1.35,3.21
1,Auckland,ASB Classic,01/01/2019,International,Outdoor,Hard,2nd Round,3,Sorribes Tormo S.,Flipkens K.,86,47,700,1058,6,4,1,6,6,1,2,1,Completed,2.62,1.44,2.72,1.52,2.75,1.55,2.61,1.49
1,Auckland,ASB Classic,02/01/2019,International,Outdoor,Hard,2nd Round,3,Hsieh S.W.,Puig M.,28,53,1640,1010,6,1,7,6,,,2,0,Completed,2.1,1.66,2.24,1.73,2.24,1.78,2.14,1.71
1,Auckland,ASB Classic,02/01/2019,International,Outdoor,Hard,2nd Round,3,Bouchard E.,Schoofs B.,87,174,692,329,6,7,6,4,6,4,2,1,Completed,1.28,3.5,1.28,4.11,1.32,4.11,1.28,3.69
1,Auckland,ASB Classic,02/01/2019,International,Outdoor,Hard,2nd Round,3,Goerges J.,Barthel M.,14,77,3055,764,6,4,6,4,,,2,0,Completed,1.28,3.5,1.32,3.78,1.33,3.85,1.29,3.59
1,Auckland,ASB Classic,02/01/2019,International,Outdoor,Hard,2nd Round,3,Kuzmova V.,Kenin S.,50,52,1052,1024,7,5,5,7,6,3,2,1,Completed,1.9,1.8,2.08,1.84,2.12,1.91,2.01,1.81
1,Auckland,ASB Classic,03/01/2019,International,Outdoor,Hard,2nd Round,3,Anisimova A.,Strycova B.,96,33,635,1460,6,3,6,3,,,2,0,Completed,1.66,2.1,1.79,2.15,1.87,2.2,1.77,2.07
1,Auckland,ASB Classic,03/01/2019,International,Outdoor,Hard,2nd Round,3,Williams V.,Davis L.,39,173,1206,340,6,4,6,3,,,2,0,Completed,1.28,3.5,1.28,4.16,1.32,4.25,1.27,3.76
1,Auckland,ASB Classic,03/01/2019,International,Outdoor,Hard,2nd Round,3,Andreescu B.,Wozniacki C.,152,3,382,5586,6,4,6,4,,,2,0,Completed,4.33,1.2,4.73,1.23,4.73,1.3,4.16,1.23
1,Auckland,ASB Classic,03/01/2019,International,Outdoor,Hard,Quarterfinals,3,Kuzmova V.,Anisimova A.,50,96,1052,635,6,3,2,6,6,4,2,1,Completed,2.3,1.61,2.39,1.66,2.4,1.69,2.3,1.63
1,Auckland,ASB Classic,04/01/2019,International,Outdoor,Hard,Quarterfinals,3,Goerges J.,Bouchard E.,14,87,3055,692,3,6,6,3,7,6,2,1,Completed,1.36,3.2,1.37,3.43,1.4,3.43,1.36,3.15
1,Auckland,ASB Classic,04/01/2019,International,Outdoor,Hard,Quarterfinals,3,Andreescu B.,Williams V.,152,39,382,1206,6,7,6,1,6,3,2,1,Completed,2.37,1.57,2.43,1.65,2.5,1.67,2.35,1.61
1,Auckland,ASB Classic,04/01/2019,International,Outdoor,Hard,Quarterfinals,3,Hsieh S.W.,Sorribes Tormo S.,28,86,1640,700,6,3,6,2,,,2,0,Completed,1.28,3.75,1.33,3.76,1.34,3.8,1.31,3.5
1,Auckland,ASB Classic,05/01/2019,International,Outdoor,Hard,Semifinals,3,Goerges J.,Kuzmova V.,14,50,3055,1052,6,1,7,6,,,2,0,Completed,1.33,3.4,1.34,3.64,1.37,3.64,1.33,3.33
1,Auckland,ASB Classic,05/01/2019,International,Outdoor,Hard,Semifinals,3,Andreescu B.,Hsieh S.W.,152,28,382,1640,6,3,6,3,,,2,0,Completed,1.9,1.9,2.07,1.86,2.07,2.2,1.93,1.89
1,Auckland,ASB Classic,06/01/2019,International,Outdoor,Hard,The Final,3,Goerges J.,Andreescu B.,14,152,3055,382,2,6,7,5,6,1,2,1,Completed,1.4,3,1.43,3.14,1.5,3.15,1.42,2.91
2,Brisbane,Brisbane International,31/12/2018,Premier,Outdoor,Hard,1st Round,3,Tsurenko L.,Buzarnescu M.,27,24,1755,1820,6,0,6,2,,,2,0,Completed,1.8,1.9,1.95,1.93,1.96,2.04,1.89,1.92
2,Brisbane,Brisbane International,31/12/2018,Premier,Outdoor,Hard,1st Round,3,Birrell K.,Kasatkina D.,283,10,170,3415,5,7,6,4,7,6,2,1,Completed,6.5,1.11,6.81,1.13,7.24,1.14,6.35,1.12
2,Brisbane,Brisbane International,31/12/2018,Premier,Outdoor,Hard,1st Round,3,Pliskova Ka.,Putintseva Y.,8,44,4465,1145,4,6,6,3,6,4,2,1,Completed,1.16,5,1.2,5.11,1.21,5.3,1.18,4.86
2,Brisbane,Brisbane International,31/12/2018,Premier,Outdoor,Hard,1st Round,3,Aiava D.,Mladenovic K.,247,43,226,1155,6,3,7,6,,,2,0,Completed,2,1.72,2.1,1.81,2.3,1.81,2.12,1.73
2,Brisbane,Brisbane International,31/12/2018,Premier,Outdoor,Hard,1st Round,3,Bertens K.,Mertens E.,9,12,4335,3165,6,2,6,7,6,4,2,1,Completed,1.9,1.8,2.06,1.84,2.06,1.88,1.99,1.82
2,Brisbane,Brisbane International,31/12/2018,Premier,Outdoor,Hard,1st Round,3,Vekic D.,Rybarikova M.,34,48,1455,1056,6,1,6,2,,,2,0,Completed,1.5,2.5,1.57,2.55,1.6,2.6,1.55,2.48
2,Brisbane,Brisbane International,31/12/2018,Premier,Outdoor,Hard,1st Round,3,Dart H.,Hon P.,149,157,392,371,1,6,6,3,6,4,2,1,Completed,1.53,2.37,1.54,2.63,1.57,2.7,1.53,2.52
2,Brisbane,Brisbane International,31/12/2018,Premier,Outdoor,Hard,1st Round,3,Kontaveit A.,Suarez Navarro C.,20,23,2480,2153,6,0,6,3,,,2,0,Completed,1.72,2,1.79,2.12,1.83,2.12,1.79,2.02
2,Brisbane,Brisbane International,31/12/2018,Premier,Outdoor,Hard,1st Round,3,Bouzkova M.,Stosur S.,139,74,431,800,4,6,6,2,6,2,2,1,Completed,1.61,2.2,1.58,2.52,1.67,2.65,1.58,2.39
2,Brisbane,Brisbane International,01/01/2019,Premier,Outdoor,Hard,1st Round,3,Tomljanovic A.,Siniakova K.,46,31,1082,1492,1,6,6,3,6,0,2,1,Completed,2.25,1.57,2.5,1.59,2.58,1.65,2.39,1.58
